"YEAR","DISASTER","INJURED","DEATH","DAMAGED"
"2532","Conflagration","208","63","671.45"
"2533","Conflagration","293","154","1490.27"
"2534","Conflagration","168","78","2127.63"
"2535","Conflagration","138","103","1094.21"
"2536","Conflagration","833","270","1751.33"
"2537","Conflagration","147","99","711.23"
"2538","Conflagration","153","79","3038.95"
"2539","Conflagration","155","105","2528.4"
"2540","Conflagration","261","217","2340.96"
"2541","Conflagration","100","29","2347.61"
"2542","Conflagration","0","27","544.51"
"2543","Conflagration","91","46","1250.65"
"2544","Conflagration","148","15","1529.28"
"2545","Conflagration","150","24","805.81"
"2546","Conflagration","167","56","565.54"
"2547","Conflagration","69","31","487.02"
"2548","Conflagration","68","48","931.91"
"2549","Conflagration","66","37","1083.84"
"2550","Conflagration","156","45","875.79"
"2551","Conflagration","92","30","1424.89"
"2552","Conflagration","312","83","817.33"
